Date,Campaign,Channel,Impressions,Clicks,Conversions,Cost,Revenue,CTR,CPC,CVR,ROI
2025-12-03,Campaign_001,Twitter,37535,270,148,2741.48,8251.58,0.72,10.15,54.81,200.99
2025-12-02,Campaign_009,Instagram,38339,4743,128,3098.7,3994.66,12.37,0.65,2.7,28.91
2025-12-01,Campaign_009,Instagram,24734,3798,182,3064.52,5323.57,15.36,0.81,4.79,73.72
2025-11-30,Campaign_003,LinkedIn,51247,522,44,1698.56,2897.48,1.02,3.25,8.43,70.58
2025-11-29,Campaign_004,Instagram,74910,3413,154,1420.23,7304.97,4.56,0.42,4.51,414.35
2025-11-28,Campaign_004,LinkedIn,59995,1097,5,1490.76,2426.79,1.83,1.36,0.46,62.79
2025-11-27,Campaign_003,Instagram,35748,4673,153,2842.02,7106.05,13.07,0.61,3.27,150.04
2025-11-26,Campaign_008,Instagram,22041,756,81,2443.09,1433.98,3.43,3.23,10.71,-41.3
2025-11-25,Campaign_007,Instagram,23574,1156,140,1266.21,7954.31,4.9,1.1,12.11,528.2
2025-11-24,Campaign_001,Instagram,19071,4292,62,3720.99,8174.57,22.51,0.87,1.44,119.69
2025-11-23,Campaign_010,Instagram,52354,2629,56,4186.77,3629.74,5.02,1.59,2.13,-13.3
2025-11-22,Campaign_003,LinkedIn,92564,4061,178,4793.88,2908.93,4.39,1.18,4.38,-39.32
2025-11-21,Campaign_008,Google Ads,66400,4568,112,3908.57,1980.43,6.88,0.86,2.45,-49.33
2025-11-20,Campaign_007,Facebook,34183,4236,53,119.38,6082.29,12.39,0.03,1.25,4994.9
2025-11-19,Campaign_004,Facebook,82643,3104,75,4305.09,9549.25,3.76,1.39,2.42,121.81
2025-11-18,Campaign_004,LinkedIn,27774,14,15,4138.01,1730.94,0.05,295.57,107.14,-58.17
2025-11-17,Campaign_006,Twitter,72919,253,119,3798.77,6304.38,0.35,15.01,47.04,65.96
2025-11-16,Campaign_001,Twitter,96634,3780,98,4790.2,9001.06,3.91,1.27,2.59,87.91
2025-11-15,Campaign_006,Instagram,62276,812,23,254.97,7926.76,1.3,0.31,2.83,3008.9
2025-11-14,Campaign_002,LinkedIn,95178,1714,20,4096.65,4575.68,1.8,2.39,1.17,11.69
2025-11-13,Campaign_007,Google Ads,19731,105,53,4299.67,2936.6,0.53,40.95,50.48,-31.7
2025-11-12,Campaign_006,Twitter,41414,2888,93,3838.49,9564.73,6.97,1.33,3.22,149.18
