,Impressions,Clicks,Cost,Conversions,Revenue,Bounce_Rate,Avg_Session_Duration,Quality_Score,CTR,CPC,CPM,Conversion_Rate,ROAS,CPA
Impressions,1.0,0.6960326775534221,0.04861240941629672,0.5287064110397213,0.45744063266048496,0.011026440376083512,-0.020205780405496393,-0.033786175680947786,-0.027115018066100265,-0.33504312741505504,-0.430264629938206,-0.023240203234149135,0.166421427813085,-0.205928921293319
Clicks,0.6960326775534221,1.0,0.036794467392722845,0.7404761710821984,0.6196665988138444,0.03703284686144439,-0.01932121440170918,-0.014540422377349715,0.6036861368197343,-0.2995468654748342,-0.31051219411819975,-0.04078651734901129,0.2298991924749688,-0.18208330211247514
Cost,0.04861240941629672,0.036794467392722845,1.0,0.033614852254743206,0.025371403197959195,0.04906493478065543,0.012898553014029356,-0.0234487263306119,-0.04132891418259485,0.20873344773631056,0.25937763908680345,0.031627364690289074,-0.3321847451126233,0.11352348349018564
Conversions,0.5287064110397213,0.7404761710821984,0.033614852254743206,1.0,0.8134758253349508,0.027041724915690197,-0.01384397081387314,-0.02969069686510354,0.4317698373971793,-0.22666170602322905,-0.23437497659456719,0.49850610552295127,0.2923354863629984,-0.1595942319598518
Revenue,0.45744063266048496,0.6196665988138444,0.025371403197959195,0.8134758253349508,1.0,0.02255523780210927,-0.01213483694732611,-0.06416668893452537,0.34851640286834534,-0.19433854486254357,-0.20318033732337695,0.41169116477074597,0.38974470575394937,-0.13700502101904016
Bounce_Rate,0.011026440376083512,0.03703284686144439,0.04906493478065543,0.027041724915690197,0.02255523780210927,1.0,-0.00018421449622284283,-0.029531979378549858,0.029569801951901963,-0.0007286043229987716,0.013551377603185361,0.008748302741946198,0.022809656090817833,0.03393829594890275
Avg_Session_Duration,-0.020205780405496393,-0.01932121440170918,0.012898553014029356,-0.01384397081387314,-0.01213483694732611,-0.00018421449622284283,1.0,-0.03466399912198443,-0.0019540985004913368,0.001860814101876268,0.008193009303960153,0.009547746921700344,-0.03261281067815324,0.03209428851168977
Quality_Score,-0.033786175680947786,-0.014540422377349715,-0.0234487263306119,-0.02969069686510354,-0.06416668893452537,-0.029531979378549858,-0.03466399912198443,1.0,-0.014269247627562015,0.055665185185027444,0.024988887178389693,-0.018011331043093663,-0.01226884861997102,0.013261733916113008
CTR,-0.027115018066100265,0.6036861368197343,-0.04132891418259485,0.4317698373971793,0.34851640286834534,0.029569801951901963,-0.0019540985004913368,-0.014269247627562015,1.0,-0.2520690257319803,-0.027545289550747438,-0.033465993955765674,0.15279043200656903,-0.17164683418554466
CPC,-0.33504312741505504,-0.2995468654748342,0.20873344773631056,-0.22666170602322905,-0.19433854486254357,-0.0007286043229987716,0.001860814101876268,0.055665185185027444,-0.2520690257319803,1.0,0.7018295497290818,0.021889729759181815,-0.09660884144609078,0.4925930002839155
CPM,-0.430264629938206,-0.31051219411819975,0.25937763908680345,-0.23437497659456719,-0.20318033732337695,0.013551377603185361,0.008193009303960153,0.024988887178389693,-0.027545289550747438,0.7018295497290818,1.0,0.016116686682138795,-0.11871759021556354,0.3465292412295664
Conversion_Rate,-0.023240203234149135,-0.04078651734901129,0.031627364690289074,0.49850610552295127,0.41169116477074597,0.008748302741946198,0.009547746921700344,-0.018011331043093663,-0.033465993955765674,0.021889729759181815,0.016116686682138795,1.0,0.14975664392703522,-0.1731656631053767
ROAS,0.166421427813085,0.2298991924749688,-0.3321847451126233,0.2923354863629984,0.38974470575394937,0.022809656090817833,-0.03261281067815324,-0.01226884861997102,0.15279043200656903,-0.09660884144609078,-0.11871759021556354,0.14975664392703522,1.0,-0.06129446093677476
CPA,-0.205928921293319,-0.18208330211247514,0.11352348349018564,-0.1595942319598518,-0.13700502101904016,0.03393829594890275,0.03209428851168977,0.013261733916113008,-0.17164683418554466,0.4925930002839155,0.3465292412295664,-0.1731656631053767,-0.06129446093677476,1.0
