,count,percentage,lower_bound,upper_bound
Impressions,0.0,0.0,-50093.0,150245.0
Clicks,7.0,0.7000000000000001,-5522.25,12869.75
Cost,0.0,0.0,-2529.2024999999994,7409.9175
Conversions,41.0,4.1000000000000005,-971.75,2016.25
Revenue,66.0,6.6000000000000005,-266928.2339767611,527925.5976978323
Bounce_Rate,0.0,0.0,-6.141249999999992,107.44874999999999
Avg_Session_Duration,0.0,0.0,-282.0,928.0
Quality_Score,0.0,0.0,-4.5,15.5
CTR,0.0,0.0,-5.250000000000002,21.230000000000004
CPC,119.0,11.899999999999999,-1.68375,3.60625
CPM,111.0,11.1,-78.66124999999998,193.50874999999996
Conversion_Rate,0.0,0.0,-13.873750000000001,45.01625
ROAS,102.0,10.2,-160.65125000000003,306.05875000000003
CPA,116.0,11.600000000000001,-17.92125,35.00875
isolation_forest_outliers,100.0,100.0,100.0,100.0
